"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4trials10kCtrl1NStartNoFragSoonerLong.nlogo"
"experiments 2 seeds"
"02/19/2021 23:05:59:040 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"23","23","269","64906449","61082360","71600702","4","0","4","0","0","27","14","17","5","0","28","14","18","5","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","33","20","1","270","0","0","0","2"
"19","19","310","31405674","57152599","97674910","4","0","2","0","0","5","0","2","0","0","5","0","4","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","19","15","0","311","0","0","0","0"
"24","24","319","39912531","76719610","13592280","4","0","6","0","0","9","0","12","0","0","11","0","12","0","1","19","0","17","0","1","0","0","0","0","0","0","0","0","0","0","19","17","1","320","0","0","1","0"
"8","8","306","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","46","11","78","4","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","49","79","0","307","0","0","0","2"
"2","2","274","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","183","37","301","15","2","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","202","305","4","275","0","0","6","5"
"9","9","324","52225802","10416085","15795628","13","0","7","0","0","96","6","108","4","1","99","6","118","4","1","107","6","132","4","2","0","0","0","0","0","0","0","0","0","0","107","132","2","325","0","4","2","3"
"10","10","341","22141847","5084778","99092997","28","1","78","0","0","219","20","390","7","5","310","20","554","7","6","428","20","691","7","8","0","0","0","0","0","0","0","0","0","0","428","692","8","342","0","0","6","5"
"18","18","443","57167994","65638743","87085666","19","1","50","0","0","70","18","135","1","1","72","18","142","1","1","237","18","398","1","1","0","0","0","0","0","0","0","0","0","0","246","409","1","444","1","1","1","5"
"28","28","270","97526189","36517817","29959085","3","0","4","0","0","11","0","16","0","0","11","0","19","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","20","0","271","0","1","0","2"
"6","6","378","63287122","69609210","74834936","29","0","43","0","0","322","50","342","11","11","498","61","673","18","12","626","61","836","18","13","0","0","0","0","0","0","0","0","0","0","626","836","13","379","1","5","14","13"
