"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4trials10kCtrl1NStart.nlogo"
"experiments 2 seeds"
"01/28/2021 23:20:56:919 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"8","8","264","87143558","30513963","31823795","13","11","9","4","0","44","11","72","4","0","46","11","78","4","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","47","79","0","265","0","0","0","2"
"23","23","300","64906449","61082360","71600702","4","0","4","0","0","27","14","17","5","0","28","14","18","5","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","33","20","0","301","0","0","0","2"
"5","5","326","11395600","46749482","55101658","5","0","2","0","0","6","0","3","0","0","6","0","6","0","0","14","0","12","0","0","0","0","0","0","0","0","0","0","0","0","14","12","0","327","0","2","2","1"
"24","24","383","39912531","76719610","13592280","4","0","6","0","0","9","0","12","0","0","11","0","12","0","1","17","0","19","0","1","0","0","0","0","0","0","0","0","0","0","17","19","1","384","0","1","0","1"
"2","2","393","821528","85052747","79039483","32","9","50","3","0","169","36","267","13","2","183","37","301","15","2","204","55","318","19","3","0","0","0","0","0","0","0","0","0","0","205","319","3","394","0","0","6","5"
"18","18","497","57167994","65638743","87085666","19","1","50","0","0","70","18","135","1","1","72","18","142","1","1","251","18","367","1","3","0","0","0","0","0","0","0","0","0","0","253","370","3","498","1","2","2","2"
"28","28","253","97526189","36517817","29959085","3","0","4","0","0","11","0","16","0","0","11","0","19","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","19","0","254","0","1","0","2"
"6","6","428","63287122","69609210","74834936","29","0","43","0","0","322","50","342","11","11","498","61","673","18","12","646","61","879","18","13","0","0","0","0","0","0","0","0","0","0","649","883","14","429","2","8","11","14"
"17","17","447","25067194","60688251","9903643","40","11","107","5","0","210","55","296","17","2","412","55","675","17","6","638","55","950","17","10","0","0","0","0","0","0","0","0","0","0","644","961","10","448","4","6","12","17"
"3","3","454","78358869","32456856","31794527","6","0","7","0","0","112","0","218","0","3","414","11","739","4","9","716","49","1065","13","13","0","0","0","0","0","0","0","0","0","0","716","1065","13","455","1","5","11","22"
"1","1","423","88938869","24928751","82712124","19","2","67","0","0","233","21","383","3","3","577","21","995","3","9","813","66","1225","16","14","0","0","0","0","0","0","0","0","0","0","817","1238","14","424","4","16","9","19"
"12","12","380","98977339","72967329","35710070","0","0","4","1","0","64","25","114","7","1","725","25","1085","7","8","933","25","1411","7","14","0","0","0","0","0","0","0","0","0","0","933","1411","14","381","5","25","15","37"
"22","22","504","75097682","31760938","3786452","6","0","3","0","0","22","0","66","0","0","285","0","518","0","4","740","65","1098","18","11","0","0","0","0","0","0","0","0","0","0","745","1104","11","505","4","15","5","19"
"20","20","487","8833021","4965053","31076845","4","0","6","0","0","37","21","36","1","0","376","21","651","1","1","799","58","1165","13","7","0","0","0","0","0","0","0","0","0","0","801","1168","7","488","3","10","9","17"
"7","7","523","31237349","43833024","85571118","4","0","2","0","0","80","0","172","0","0","280","0","467","0","1","799","67","1147","10","19","0","0","0","0","0","0","0","0","0","0","802","1148","19","524","6","21","17","20"
"4","4","575","85501717","66634576","33544962","1","0","2","0","0","1","0","2","0","0","3","0","4","0","1","744","50","1031","10","13","0","0","0","0","0","0","0","0","0","0","794","1104","13","576","4","10","12","19"
"14","14","593","58696853","66116717","29143090","16","10","8","1","0","75","27","59","9","1","209","27","318","9","2","727","41","1022","13","9","0","0","0","0","0","0","0","0","0","0","746","1059","9","594","7","5","11","25"
"30","30","269","25425989","10853444","37062578","26","1","49","1","1","139","41","171","12","4","142","41","178","12","4","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","144","178","4","270","0","0","3","3"
"16","16","525","71489839","80162375","94721921","3","0","5","0","0","11","0","14","0","0","11","0","17","0","0","907","69","1345","9","16","0","0","0","0","0","0","0","0","0","0","920","1373","18","526","11","41","21","37"
"13","13","530","44009159","8964737","69800288","3","0","0","0","0","16","0","8","0","0","18","0","12","0","0","955","52","1337","16","17","0","0","0","0","0","0","0","0","0","0","964","1345","17","531","9","37","10","32"
"11","11","538","7201771","47190765","61300997","6","0","5","0","0","18","0","12","0","0","20","0","15","0","0","1003","50","1410","17","14","0","0","0","0","0","0","0","0","0","0","1019","1430","14","539","13","37","8","45"
"32","32","277","70925031","60297825","83265554","3","0","4","0","0","6","0","12","0","1","6","0","14","0","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","9","15","1","278","0","0","0","1"
"10","10","686","22141847","5084778","99092997","28","1","78","0","0","219","20","390","7","5","310","20","554","7","6","562","52","911","22","9","0","0","0","0","0","0","0","0","0","0","601","979","10","687","6","14","8","14"
"19","19","647","31405674","57152599","97674910","4","0","2","0","0","5","0","2","0","0","5","0","4","0","0","695","0","1063","0","8","0","0","0","0","0","0","0","0","0","0","822","1173","10","648","12","13","8","18"
"9","9","702","52225802","10416085","15795628","13","0","7","0","0","96","6","108","4","1","99","6","118","4","1","591","6","904","4","5","0","0","0","0","0","0","0","0","0","0","729","1041","9","703","9","19","8","23"
"21","21","669","66383352","97632641","44435694","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","601","30","800","5","6","0","0","0","0","0","0","0","0","0","0","860","1057","12","670","11","15","9","14"
"15","15","596","66508631","45421485","89682049","4","0","4","0","0","23","12","14","2","0","25","12","15","2","0","976","55","1284","14","13","0","0","0","0","0","0","0","0","0","0","1051","1426","15","597","10","27","14","35"
"25","25","460","82184414","89099961","70458664","20","0","43","0","0","240","12","339","3","2","735","31","1013","8","8","979","60","1352","10","12","0","0","0","0","0","0","0","0","0","0","979","1352","12","461","11","60","9","38"
"40","40","241","3602106","51776405","60448235","8","0","20","0","0","67","12","90","7","0","68","12","91","7","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","68","91","0","242","0","0","0","1"
"45","45","256","97179470","62560178","58092175","4","0","1","0","0","4","0","2","0","0","6","0","2","0","0","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","7","2","0","257","0","0","0","0"
"49","49","236","28006094","31077160","61439941","4","0","4","0","0","25","11","18","3","1","25","11","20","3","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","25","20","1","237","0","0","0","0"
"29","29","447","2249469","28771309","3110668","4","0","0","0","0","96","0","160","0","1","404","28","522","8","4","802","51","1168","14","9","0","0","0","0","0","0","0","0","0","0","815","1180","10","448","11","25","16","36"
"27","27","578","41247351","80836320","34196944","32","1","97","0","0","245","30","276","4","3","264","30","290","4","5","870","62","1153","12","10","0","0","0","0","0","0","0","0","0","0","940","1255","11","579","8","30","16","33"
"26","26","596","34728713","70006978","68140195","3","0","4","0","0","22","0","24","0","0","22","0","26","0","0","965","82","1320","15","10","0","0","0","0","0","0","0","0","0","0","978","1367","10","597","19","47","8","41"
